FilePath,ExportedComponents,LOC,UsesTokens,HasStory,HasTests,ImportCount,LastCommit,CommitHash
frontend/src/components/shared/CodePreview.tsx,CodePreview,36,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/components/shared/TechCard.figma.tsx,,26,no,no,no,0,2026-01-20,389b02e251ab7db009dc8fe7ed8b225e8fd778d0
frontend/src/components/shared/ApplicationCard.stories.tsx,Applied; CustomSteps; Interview; Offer; Screening; WithoutUpdateButton,116,no,no,no,0,2026-01-02,e4deda72959feb738e372a23712328b8c19350dd
frontend/src/components/shared/PlasmaBackground.tsx,PlasmaBackground,188,no,no,no,0,2026-01-20,c3be1b4e640e37e829cd4dfca62e741f62f7bf14
frontend/src/components/figma/ImageWithFallback.tsx,ImageWithFallback,39,no,no,no,0,2025-12-25,db7e79f44bb3edf5df91c4afeab0a01ed435c365
frontend/src/components/electric/tabs/ElectricTabs.tsx,ElectricTabs; ElectricTabsProps; Tab,98,no,no,no,0,2025-12-27,29e58e34188fc01044755e1ed6eb92d428b5ec16
frontend/src/components/TestCard/TestCard.tsx,TestCard; TestCardProps,36,no,no,no,0,2025-12-27,dc3a7c2ec840bc2e7ac1aaba5bcd3bed17a93d2a
frontend/src/stories/Documents.stories.tsx,Default; MobileView; TabletView,31,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/KSCGenerator.stories.tsx,MobileWizard; Step1_Initial; Step2_STAR; Step3_Generated,40,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/M3TextField.stories.tsx,ErrorState; Filled; InputSizes; Outlined; TextArea; WithCounter; WithIcons,94,no,no,no,0,2026-01-22,17c6dcce58b8ed95e955c66acc867f1655dcb262
frontend/src/stories/Settings.stories.tsx,Default; MobileSettings; TabletSettings,31,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/MetricCard.stories.tsx,ActiveUsers; Default; GridDisplay; RetentionRate; TimeSaved,70,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
frontend/src/stories/LandingPage.stories.tsx,Default; MobileView,23,no,no,no,0,2026-01-07,0e6d2b428a1a95167b1a5264778cc57fd6467a33
